# LAMMPS data file written by OVITO Basic 3.5.3
128000 atoms
3 atom types
0.0 339.46782351 xlo xhi
0.0 339.46782351 ylo yhi
0.0 48.008 zlo zhi

Masses

1 79.904  # O
2 132.90545  # Sr
3 207.2  # Ti

Atoms  # atomic

1 1 2.1216738969 2.1216738969 0.0
2 1 6.3650216908 6.3650216908 0.0
3 1 2.1216738969 6.3650216908 0.0
4 1 6.3650216908 2.1216738969 0.0
5 1 0.0 0.0 3.0005
6 1 4.2433477939 4.2433477939 3.0005
7 1 10.6083694847 2.1216738969 0.0
8 1 14.8517172786 6.3650216908 0.0
9 1 10.6083694847 6.3650216908 0.0
10 1 14.8517172786 2.1216738969 0.0
11 1 8.4866955878 0.0 3.0005
12 1 12.7300433816 4.2433477939 3.0005
13 1 19.0950650724 2.1216738969 0.0
14 1 23.3384128663 6.3650216908 0.0
15 1 19.0950650724 6.3650216908 0.0
16 1 23.3384128663 2.1216738969 0.0
17 1 16.9733911755 0.0 3.0005
18 1 21.2167389694 4.2433477939 3.0005
19 1 27.5817606602 2.1216738969 0.0
20 1 31.8251084541 6.3650216908 0.0
21 1 27.5817606602 6.3650216908 0.0
22 1 31.8251084541 2.1216738969 0.0
23 1 25.4600867633 0.0 3.0005
24 1 29.7034345571 4.2433477939 3.0005
25 1 36.0684562479 2.1216738969 0.0
26 1 40.3118040418 6.3650216908 0.0
27 1 36.0684562479 6.3650216908 0.0
28 1 40.3118040418 2.1216738969 0.0
29 1 33.946782351 0.0 3.0005
30 1 38.1901301449 4.2433477939 3.0005
31 1 44.5551518357 2.1216738969 0.0
32 1 48.7984996296 6.3650216908 0.0
33 1 44.5551518357 6.3650216908 0.0
34 1 48.7984996296 2.1216738969 0.0
35 1 42.4334779388 0.0 3.0005
36 1 46.6768257326 4.2433477939 3.0005
37 1 53.0418474234 2.1216738969 0.0
38 1 57.2851952173 6.3650216908 0.0
39 1 53.0418474234 6.3650216908 0.0
40 1 57.2851952173 2.1216738969 0.0
41 1 50.9201735265 0.0 3.0005
42 1 55.1635213204 4.2433477939 3.0005
43 1 61.5285430112 2.1216738969 0.0
44 1 65.7718908051 6.3650216908 0.0
45 1 61.5285430112 6.3650216908 0.0
46 1 65.7718908051 2.1216738969 0.0
47 1 59.4068691143 0.0 3.0005
48 1 63.6502169081 4.2433477939 3.0005
49 1 70.0152385989 2.1216738969 0.0
50 1 74.2585863928 6.3650216908 0.0
51 1 70.0152385989 6.3650216908 0.0
52 1 74.2585863928 2.1216738969 0.0
53 1 67.893564702 0.0 3.0005
54 1 72.1369124959 4.2433477939 3.0005
55 1 78.5019341867 2.1216738969 0.0
56 1 82.7452819806 6.3650216908 0.0
57 1 78.5019341867 6.3650216908 0.0
58 1 82.7452819806 2.1216738969 0.0
59 1 76.3802602898 0.0 3.0005
60 1 80.6236080836 4.2433477939 3.0005
61 1 86.9886297744 2.1216738969 0.0
62 1 91.2319775683 6.3650216908 0.0
63 1 86.9886297744 6.3650216908 0.0
64 1 91.2319775683 2.1216738969 0.0
65 1 84.8669558775 0.0 3.0005
66 1 89.1103036714 4.2433477939 3.0005
67 1 95.4753253622 2.1216738969 0.0
68 1 99.7186731561 6.3650216908 0.0
69 1 95.4753253622 6.3650216908 0.0
70 1 99.7186731561 2.1216738969 0.0
71 1 93.3536514653 0.0 3.0005
72 1 97.5969992591 4.2433477939 3.0005
73 1 103.9620209499 2.1216738969 0.0
