# LAMMPS data file written by OVITO Basic 3.5.3
100291 atoms
3 atom types
-49.9082 49.8686 xlo xhi
-50.5287 50.1027 ylo yhi
-54.391 58.798 zlo zhi

Masses

1 58.69
2 58.93
3 52.0

Atoms  # atomic

1	3	-49.84176078	-49.29165819	-51.84558858
2	2	-48.05783002	-50.54048773	-53.12539339
3	2	-48.03329958	-50.55063534	-50.58238739
4	2	-49.86370256	-49.30487819	-54.38087133
5	2	-49.84165836	-46.79069218	-54.35408022
6	3	-48.08751938	-48.02334995	-53.12434545
7	2	-49.83511009	-49.2954005	-46.80197891
8	3	-48.01123977	-50.56303841	-48.05031213
9	3	-48.0324297	-50.5560079	-45.52875088
10	3	-49.84984519	-49.30570358	-49.32194137
11	3	-49.86576392	-46.80006164	-49.33975043
12	2	-48.07022486	-48.02617996	-50.59107591
13	2	-48.066871	-48.03334524	-48.06640354
14	2	-49.86744281	-46.77626471	-51.87177017
15	3	-48.07604098	-45.52605274	-53.09618756
16	3	-48.13253687	-45.51591582	-50.60153951
17	3	-48.06684058	-48.0108785	-45.52894585
18	3	-49.8634107	-46.77205946	-46.79436836
19	2	-48.09038564	-45.50903533	-48.07453334
20	2	-48.04306899	-45.50547906	-45.54499683
21	3	-46.27103052	-49.28339937	-51.8588196
22	2	-44.44437544	-50.54843936	-53.0916544
23	1	-44.43277558	-50.54476798	-50.56878017
24	2	-46.26663006	-49.28988128	-54.37987639
25	2	-46.28759566	-46.79595878	-54.354755
26	3	-44.47165402	-48.04108418	-53.09964815
27	2	-46.24919676	-49.29730566	-46.78918559
28	1	-44.44718854	-50.55994478	-48.04381942
29	3	-44.49315799	-50.53065918	-45.4979795
30	3	-46.25137814	-49.27710683	-49.31330575
31	3	-46.28497116	-46.76232209	-49.33107117
32	2	-44.45519722	-48.02586262	-50.57784708
33	2	-44.4455572	-48.04483739	-48.06706352
34	2	-46.27768713	-46.77400495	-51.84370224
35	3	-44.4791141	-45.55668352	-53.07721748
36	3	-44.46194567	-45.51064282	-50.57526092
37	3	-44.48255342	-48.06007408	-45.56480665
38	3	-46.27216533	-46.78303459	-46.8270898
39	2	-44.46692908	-45.52209649	-48.06758703
40	2	-44.46387242	-45.54815797	-45.56399686
41	3	-42.62158898	-49.27670552	-51.84377628
42	2	-40.91817697	-50.59077742	-53.1366546
43	2	-40.92028018	-50.5571915	-50.5576445
44	2	-42.69481632	-49.30972963	-54.36946276
45	2	-42.6939073	-46.81712677	-54.34581009
46	3	-40.90585346	-48.03952181	-53.12778921
47	2	-42.67446306	-49.27574961	-46.78004967
48	3	-40.95794002	-50.54118905	-48.03485816
49	1	-40.91759521	-50.56374902	-45.53960088
50	3	-42.64774811	-49.28904426	-49.30786234
51	3	-42.65476179	-46.75387372	-49.29086731
52	2	-40.89407322	-48.02948949	-50.55174804
53	1	-40.88270674	-48.04051075	-48.02381711
54	2	-42.67290295	-46.78426232	-51.82398431
55	3	-40.91611209	-45.53508916	-53.05550016
56	3	-40.9145705	-45.4774102	-50.54577586
57	3	-40.90300814	-48.06497427	-45.47961413
58	3	-42.67506288	-46.75649031	-46.81196354
59	2	-40.89664966	-45.50334251	-48.04531071
60	2	-40.93354643	-45.56681979	-45.55244967
61	3	-39.23021441	-49.32189225	-51.87268022
62	1	-37.43187283	-50.63359112	-53.0685564
63	1	-37.42090617	-50.58553379	-50.58512647
64	2	-39.16711926	-49.3778739	-54.38282777
65	2	-39.15739763	-46.87302908	-54.35268296
66	3	-37.43821835	-48.10309788	-53.10941339
67	1	-39.15150528	-49.32197089	-46.77936368
68	1	-37.39404872	-50.58234688	-48.0398428
69	1	-37.38175962	-50.56550335	-45.52083616
70	1	-39.15683761	-49.32735242	-49.29599356
71	3	-39.14805515	-46.73320354	-49.32956889
72	1	-37.41772178	-48.09014527	-50.5582695
73	1	-37.39653775	-48.0523902	-48.03578783
74	2	-39.1656613	-46.80007386	-51.83440628
75	2	-37.3958213	-45.61909417	-53.04532771
76	3	-37.38534043	-45.53149628	-50.53991153
77	1	-37.37294983	-48.05477211	-45.50672791
78	1	-39.14519199	-46.79879886	-46.7712481
79	1	-37.3741513	-45.54382489	-48.013051
80	1	-37.37167804	-45.54148426	-45.49746072
81	1	-35.57772692	-46.80136737	-46.78656023
82	2	-35.6153996	-46.86225505	-51.78280243
83	1	-35.62666195	-46.83621844	-49.2880163
84	1	-35.61719374	-49.33494255	-49.33243248
85	1	-35.62477136	-49.32342569	-46.80768757
86	3	-35.6078672	-46.93425952	-54.28455939
87	2	-35.62013396	-49.41171867	-54.30591901
88	3	-35.62184658	-49.28906108	-51.86063252
89	3	-49.81420449	-49.27809184	-41.72741155
90	2	-48.02568631	-50.54002821	-42.97394505
91	2	-48.03109956	-50.5503917	-40.4795616
92	2	-49.82175356	-49.29176954	-44.25707532
93	2	-49.84644782	-46.752055	-44.25444386
94	3	-48.05103895	-48.01016201	-42.99928769
95	1	-49.77696519	-49.31079385	-36.67869477
96	1	-48.00048516	-50.56222186	-37.95587251
97	3	-48.0305684	-50.58687262	-35.39859877
98	3	-49.80016265	-49.3489139	-39.23255067
99	1	-49.79861259	-46.81881738	-39.20270676
100	1	-48.00838003	-48.04976665	-40.449071
101	1	-48.00810911	-48.06513485	-37.94319638
102	2	-49.80418782	-46.77027098	-41.70952777
103	3	-48.01675526	-45.52177798	-43.03249778
104	3	-47.98591871	-45.51639077	-40.51620889
105	3	-49.76126073	-49.29800548	-31.6786808
106	2	-47.99620015	-50.5463138	-32.92990445
107	3	-48.01666213	-50.54377357	-30.43155756
108	2	-49.78045315	-49.2908538	-34.15235154
109	3	-49.78306637	-46.82179243	-34.11427961
110	1	-48.0048281	-48.04869343	-35.43685123
111	2	-47.98778595	-48.05761119	-32.93285514
112	1	-49.79641151	-46.807079	-36.68598312
113	1	-48.01306449	-45.55320012	-37.96832513
114	1	-48.0194764	-45.55943075	-35.4489359
115	2	-49.78463395	-49.28832497	-26.6390645
116	3	-47.9932027	-50.51693509	-27.91458845
117	2	-48.01786018	-50.53128228	-25.39050878
118	2	-49.77137108	-49.28098623	-29.15380904
119	3	-49.73209429	-46.78218223	-29.16330098
120	2	-47.99084697	-48.03088016	-30.43206333
121	3	-47.97650357	-48.0231446	-27.89198907
122	3	-49.79053355	-46.81148633	-31.6840059
123	3	-48.04291055	-45.53578708	-32.9317084
124	2	-47.98216549	-45.53448373	-30.4499204
125	3	-49.79587223	-49.2504394	-21.62691971
126	2	-48.01224022	-50.53881798	-22.88265298
127	2	-48.02248236	-50.53178121	-20.36712647
128	3	-49.76508879	-49.28550192	-24.11144747
129	2	-49.80331662	-46.80167599	-24.13280814
130	3	-47.94589955	-48.02820402	-25.37229566
131	2	-48.00678217	-48.01966811	-22.86617682
132	2	-49.78087769	-46.78918946	-26.64911165
133	2	-47.97611983	-45.50854275	-27.90986801
134	3	-48.01105066	-45.52285213	-25.38371354
135	2	-49.74072901	-49.28588131	-16.63243066
136	2	-48.02553832	-50.53563811	-17.87124577
137	3	-48.07755062	-50.52492244	-15.32823419
138	2	-49.78036912	-49.29247755	-19.12499589
139	2	-49.80701272	-46.76705233	-19.12188994
140	3	-47.9887737	-48.00770228	-20.35465443
141	3	-48.02036086	-48.02015933	-17.89404039
142	2	-49.79766854	-46.74966857	-21.62062955
143	3	-48.04024301	-45.51054095	-22.86039964
144	2	-48.01842997	-45.51441901	-20.33063892
145	3	-49.7565006	-49.27367317	-11.58930291
146	2	-47.99264292	-50.52454156	-12.82415795
147	2	-47.97559354	-50.57899131	-10.32451969
148	3	-49.74297799	-49.27738686	-14.08342645
149	2	-49.74881515	-46.77482657	-14.1068718
150	1	-47.96310836	-48.01760674	-15.35922665
151	2	-47.96294364	-48.02602739	-12.84496224
152	3	-49.75816296	-46.78604518	-16.63980338
153	2	-48.00252565	-45.52418544	-17.87949599
154	1	-47.96741638	-45.51866516	-15.36931295
155	2	-49.75909043	-49.33388159	-6.529419025
156	3	-47.97126301	-50.59710598	-7.796073135
157	3	-47.95682598	-50.61348635	-5.254699784
158	2	-49.75276988	-49.31689735	-9.064844948
159	2	-49.7548792	-46.78128745	-9.073709733
160	3	-47.98498758	-48.04327398	-10.34909201
161	3	-47.97455492	-48.05395051	-7.80983224
162	2	-49.73420589	-46.76186271	-11.60307296
163	3	-47.97782267	-45.56142634	-12.81973416
164	3	-47.97300875	-45.51238	-10.33916926
165	3	-49.739257	-49.36747678	-1.465041091
166	2	-47.95104989	-50.62760562	-2.723128563
167	2	-47.94307642	-50.62309762	-0.189779114
168	3	-49.74884927	-49.34245381	-4.004388985
169	3	-49.75819255	-46.80526439	-4.020379865
170	2	-47.95972051	-48.06603497	-5.281603315
171	2	-47.95332889	-48.08659762	-2.752910622
172	3	-49.76159168	-46.79709668	-6.539692296
173	2	-47.98195941	-45.52559461	-7.814130413
174	2	-47.96523507	-45.52560213	-5.291399106
175	3	-47.94318017	-48.08590223	-0.220000362
176	2	-49.74399098	-46.82580947	-1.491211998
177	3	-47.95382797	-45.54997684	-2.761289838
178	3	-47.94670191	-45.55479208	-0.225346971
179	3	-46.25520918	-49.30011641	-41.78386591
180	2	-44.49998877	-50.54940663	-43.02208095
181	1	-44.47531726	-50.5709814	-40.49433862
182	2	-46.29013471	-49.28860391	-44.27132274
183	2	-46.24002341	-46.78507253	-44.28174454
184	3	-44.50009288	-48.08258218	-43.05070891
185	1	-46.24158512	-49.31390464	-36.68688405
186	1	-44.44772014	-50.5485214	-37.99026821
187	1	-44.48586827	-50.56754224	-35.45264779
188	1	-46.23468775	-49.31103623	-39.22239019
189	1	-46.22937457	-46.77691393	-39.21661627
190	1	-44.48632408	-48.06957782	-40.49821397
191	1	-44.44443258	-48.05161113	-37.96589024
192	2	-46.25072806	-46.78716854	-41.75257233
193	3	-44.45768784	-45.53934186	-43.02480617
194	3	-44.48879264	-45.50168589	-40.50255504
195	3	-46.30507693	-49.28285864	-31.66478461
196	1	-44.48962166	-50.53883685	-32.94149879
197	1	-44.4670176	-50.52865203	-30.43684769
198	1	-46.22120477	-49.3093972	-34.1997103
199	1	-46.24016921	-46.76227979	-34.19453329
200	1	-44.44266995	-48.023631	-35.4734781
201	1	-44.47109871	-48.03961362	-32.93654634
202	1	-46.21336076	-46.76651796	-36.71063441
203	2	-44.47779861	-45.47703928	-37.97033655
204	1	-44.47561423	-45.50018003	-35.44663876
205	2	-46.22233656	-49.27428621	-26.66174242
206	3	-44.50282489	-50.57311492	-27.88075391
207	2	-44.47707553	-50.52231978	-25.40287418
208	2	-46.22214668	-49.28234738	-29.17288795
209	3	-46.28431792	-46.80252256	-29.17793128
210	1	-44.48073071	-48.0180354	-30.42942912
211	1	-44.46434972	-48.00899179	-27.91491735
212	1	-46.21831219	-46.77286381	-31.70130561
213	1	-44.45782543	-45.48453992	-32.96054863
214	1	-44.4685469	-45.51516439	-30.41623926
215	2	-46.24582045	-49.26934646	-21.61254252
216	3	-44.51821748	-50.50572058	-22.91004698
217	2	-44.4891928	-50.53677969	-20.38293123
218	3	-46.24573851	-49.29007391	-24.12375799
219	2	-46.2153152	-46.75222808	-24.11372797
220	3	-44.53135232	-48.03158347	-25.36817964
221	2	-44.47038614	-48.00181676	-22.88518072
222	2	-46.20950526	-46.76141338	-26.64707102
223	1	-44.47809268	-45.50535363	-27.91207874
224	3	-44.48082768	-45.49494666	-25.37080667
225	1	-46.2379672	-49.29101937	-16.62413603
226	1	-44.4690478	-50.55251199	-17.88837772
227	1	-44.47507813	-50.54139105	-15.36771807
228	2	-46.23675981	-49.28225118	-19.13510273
229	2	-46.21548088	-46.75587897	-19.10782452
230	3	-44.53595897	-47.98765497	-20.397712
231	1	-44.45262989	-48.04949073	-17.8909881
232	3	-46.2428883	-46.75308636	-21.60019919
233	3	-44.44598351	-45.49639681	-22.86676997
234	2	-44.44128647	-45.50346797	-20.36277166
235	3	-46.20816556	-49.3005182	-11.56301916
236	1	-44.43800854	-50.55035423	-12.84803737
237	2	-44.41835598	-50.55297106	-10.33590975
238	1	-46.22094545	-49.3000263	-14.11144292
239	1	-46.18899951	-46.7622274	-14.11209425
240	1	-44.42139389	-48.04648711	-15.37310308
241	1	-44.43727095	-48.05184697	-12.8623644
242	1	-46.20543915	-46.77085939	-16.62369293
243	1	-44.42205167	-45.52842939	-17.86774938
244	1	-44.43257677	-45.52959815	-15.37511243
245	2	-46.18038498	-49.32819738	-6.560143732
246	3	-44.40905335	-50.5789458	-7.826494924
247	3	-44.38180039	-50.59614906	-5.292281227
248	2	-46.20634318	-49.30877989	-9.08435104
249	2	-46.19254393	-46.77464272	-9.11508784
250	3	-44.43564432	-48.06872927	-10.33143379
251	3	-44.4221547	-48.02952718	-7.846663785
252	1	-46.17182791	-46.77655051	-11.61815007
253	1	-44.40827417	-45.53068338	-12.87674097
254	1	-44.40833326	-45.50826483	-10.35560026
255	3	-46.16180164	-49.35863211	-1.472912858
256	2	-44.38461549	-50.61433663	-2.744622145
257	2	-44.36711831	-50.61727936	-0.203260096
258	3	-46.1686709	-49.34398466	-4.021716279
259	3	-46.16645624	-46.79470033	-4.035054885
260	2	-44.39472847	-48.04844232	-5.315847594
261	2	-44.38503584	-48.07472386	-2.770569371
262	3	-46.18597417	-46.77439556	-6.582378458
263	2	-44.41707357	-45.50634638	-7.85099776
264	2	-44.39487698	-45.5030423	-5.332370988
265	3	-44.36584893	-48.07332313	-0.228652193
266	2	-46.16136854	-46.81335043	-1.492374558
267	3	-44.38565452	-45.53486411	-2.781842834
268	3	-44.37350062	-45.53880242	-0.227305026
269	2	-42.74384923	-49.31752751	-41.79253086
270	1	-40.95597014	-50.58554315	-43.05753844
271	2	-40.97656389	-50.60951475	-40.57174601
272	2	-42.72709619	-49.32478402	-44.29849741
273	1	-42.6940349	-46.80815748	-44.29005785
274	3	-40.9498967	-48.09316244	-43.06215539
275	1	-42.70952672	-49.30335536	-36.72401714
276	2	-40.98147698	-50.55684061	-38.04048302
277	3	-40.90151303	-50.52392437	-35.50750525
278	3	-42.63946181	-49.33604352	-39.31403936
279	1	-42.75004331	-46.78816534	-39.2610102
280	3	-40.98051027	-48.06734788	-40.59440348
281	2	-41.00128541	-48.03528276	-38.01482813
282	2	-42.72683513	-46.79718529	-41.78493584
283	1	-40.94054421	-45.53521276	-43.04704067
284	3	-40.97467161	-45.49285604	-40.52606383
285	1	-42.68967709	-49.25473638	-31.70154875
286	1	-40.95457367	-50.53742749	-32.95273094
287	1	-40.91848297	-50.51518384	-30.44425234
288	1	-42.68137705	-49.28110738	-34.20600818
289	1	-42.70686552	-46.76619586	-34.18196838
290	2	-40.97536461	-48.00286475	-35.48046907
291	3	-40.87076143	-47.97508787	-32.94265514
292	3	-42.68010989	-46.70619389	-36.71496722
293	3	-40.99169414	-45.47693463	-37.99798935
294	2	-40.9819784	-45.48406447	-35.44922004
295	1	-42.72675097	-49.24854012	-26.66189281
296	1	-40.94289365	-50.51053425	-27.92991427
297	1	-40.94248508	-50.52008867	-25.43294061
298	1	-42.70856854	-49.27103889	-29.16268065
299	1	-42.70964021	-46.7445959	-29.17423702
300	1	-40.93838325	-48.0125076	-30.4118433
301	1	-40.9247241	-48.00563353	-27.9177076
302	1	-42.68164223	-46.76233945	-31.69572009
303	2	-40.94754112	-45.46396498	-32.94964327
304	1	-40.95134094	-45.4786262	-30.42876685
305	1	-42.71104995	-49.27060346	-21.63735484
306	1	-40.94879687	-50.52357161	-22.90732094
307	1	-40.9304166	-50.54925093	-20.40966108
308	1	-42.70758591	-49.2588107	-24.1527961
309	1	-42.70415376	-46.75529724	-24.15378156
310	1	-40.93817047	-48.00001572	-25.40395964
311	1	-40.91044882	-48.00634569	-22.90049164
312	1	-42.72143054	-46.74859472	-26.63713966
313	1	-40.95368651	-45.49461057	-27.90277841
314	1	-40.92189473	-45.50798251	-25.40739774
315	1	-42.67807179	-49.30273807	-16.64056516
